                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.55292,                0.68304,                0.95883,                0.77501,                0.63687,                 0.7345,                0.63888,                0.57197,                   1.01,                0.95333,               0.003862,               0.003862,               0.003862
                     65,                0.55492,                0.67307,                0.96488,                0.76716,                0.66134,                0.74492,                0.64799,                0.56462,                0.96364,                0.94778,               0.003763,               0.003763,               0.003763
                     66,                0.55175,                0.67243,                0.96043,                0.80334,                0.62959,                0.74819,                0.65208,                0.56691,                0.98145,                0.94165,               0.003664,               0.003664,               0.003664
                     67,                0.54455,                0.66864,                 0.9635,                0.77885,                0.64003,                0.74077,                0.64605,                0.55959,                0.99684,                0.93759,               0.003565,               0.003565,               0.003565
                     68,                0.54518,                0.64575,                0.95557,                0.77741,                  0.637,                0.74131,                0.64744,                0.54791,                  1.013,                 0.9349,               0.003466,               0.003466,               0.003466
                     69,                0.54123,                0.64136,                0.95671,                0.74796,                0.65837,                 0.7437,                0.64807,                0.55328,                0.99292,                0.94074,               0.003367,               0.003367,               0.003367
                     70,                0.54201,                0.64171,                0.95835,                0.76679,                0.64359,                0.74322,                0.64968,                0.55256,                 1.0372,                0.94608,               0.003268,               0.003268,               0.003268
                     71,                0.53971,                 0.6299,                 0.9559,                0.77372,                0.65367,                0.75167,                0.65673,                0.54837,                 1.0063,                0.94039,               0.003169,               0.003169,               0.003169
                     72,                0.53262,                0.61669,                0.95052,                0.78476,                0.64669,                0.74859,                0.65561,                0.54479,                  1.024,                0.93302,                0.00307,                0.00307,                0.00307
                     73,                0.53378,                 0.6117,                0.95294,                0.76773,                0.65792,                0.75726,                0.66338,                0.55779,                 1.0219,                0.93419,               0.002971,               0.002971,               0.002971
                     74,                0.52236,                0.61018,                0.94954,                0.77953,                0.65063,                 0.7531,                0.66207,                0.53833,                 1.0209,                0.93357,               0.002872,               0.002872,               0.002872
                     75,                0.51752,                0.59056,                0.94368,                0.81286,                0.64076,                0.75627,                0.66094,                 0.5486,                 1.0275,                0.93737,               0.002773,               0.002773,               0.002773
                     76,                0.52344,                0.59283,                 0.9497,                0.78706,                0.65329,                0.75655,                0.66072,                0.54821,                 1.0259,                0.93832,               0.002674,               0.002674,               0.002674
                     77,                0.50904,                0.57353,                0.94491,                0.80927,                0.63723,                0.75219,                0.65859,                0.55001,                 1.0275,                0.93881,               0.002575,               0.002575,               0.002575
                     78,                  0.517,                0.58385,                0.94574,                0.77031,                0.67155,                0.75488,                0.66344,                0.54413,                 1.0248,                0.93871,               0.002476,               0.002476,               0.002476
                     79,                0.50478,                0.56812,                0.94001,                0.80934,                0.65624,                0.76087,                0.66698,                0.54182,                 1.0027,                0.93624,               0.002377,               0.002377,               0.002377
                     80,                0.50614,                 0.5592,                0.94089,                0.80491,                0.64235,                0.75718,                0.66485,                0.53425,                 1.0208,                 0.9358,               0.002278,               0.002278,               0.002278
                     81,                0.50953,                0.56209,                0.93921,                0.78823,                0.67227,                0.76392,                0.67121,                0.53642,                0.98789,                0.93497,               0.002179,               0.002179,               0.002179
                     82,                0.49741,                0.54153,                0.93908,                0.81134,                0.65598,                0.76247,                0.67115,                0.53524,                0.96901,                0.93379,                0.00208,                0.00208,                0.00208
                     83,                0.49738,                0.53855,                0.93531,                0.81338,                0.65558,                0.76373,                0.67048,                0.53368,                0.97737,                0.93181,               0.001981,               0.001981,               0.001981
                     84,                0.48836,                0.53788,                0.93484,                0.80977,                0.64807,                0.75914,                0.66782,                0.53132,                 1.0022,                0.93198,               0.001882,               0.001882,               0.001882
                     85,                0.48997,                0.53801,                 0.9354,                 0.8044,                0.66135,                0.75876,                0.66808,                0.52778,                0.99766,                0.93176,               0.001783,               0.001783,               0.001783
                     86,                0.48114,                0.52656,                0.93123,                0.80091,                0.66058,                0.75728,                0.66874,                0.52468,                0.98936,                0.93156,               0.001684,               0.001684,               0.001684
                     87,                0.48297,                0.51874,                0.93073,                0.80494,                0.65216,                0.76046,                0.67036,                0.52763,                0.98015,                0.93172,               0.001585,               0.001585,               0.001585
                     88,                0.47783,                0.51778,                 0.9302,                0.80935,                0.64752,                0.76261,                0.67099,                0.52748,                 0.9801,                0.93108,               0.001486,               0.001486,               0.001486
                     89,                0.47284,                0.50057,                0.92519,                0.77303,                0.67635,                0.76403,                0.67216,                0.52693,                0.96294,                0.93216,               0.001387,               0.001387,               0.001387
                     90,                 0.4759,                0.50129,                0.92568,                0.78987,                 0.6719,                0.76532,                0.67371,                0.52486,                 0.9669,                0.93042,               0.001288,               0.001288,               0.001288
                     91,                0.38486,                0.32734,                0.86203,                0.77763,                0.68156,                0.76321,                0.67357,                 0.5175,                0.97365,                0.92949,               0.001189,               0.001189,               0.001189
                     92,                0.37286,                0.30263,                0.85323,                0.77784,                0.67617,                0.76178,                0.67344,                0.51729,                0.95485,                0.93412,                0.00109,                0.00109,                0.00109
                     93,                0.36935,                0.29458,                0.85327,                0.81956,                 0.6531,                0.76309,                0.67337,                0.51664,                0.95754,                  0.933,               0.000991,               0.000991,               0.000991
                     94,                0.36439,                0.28956,                0.84873,                0.80956,                0.65925,                0.76285,                0.67374,                0.51787,                0.96064,                0.93188,               0.000892,               0.000892,               0.000892
                     95,                 0.3575,                0.27904,                0.84933,                0.81908,                0.65264,                0.76466,                0.67625,                0.51507,                0.95811,                0.92984,               0.000793,               0.000793,               0.000793
                     96,                0.35174,                0.27698,                0.84405,                0.83325,                 0.6446,                0.76306,                0.67651,                0.51508,                 0.9634,                0.92969,               0.000694,               0.000694,               0.000694
                     97,                0.34907,                0.27251,                0.84658,                0.80427,                 0.6599,                0.76301,                 0.6764,                0.51244,                0.95939,                 0.9304,               0.000595,               0.000595,               0.000595
                     98,                0.34404,                0.26463,                0.84155,                0.81701,                0.65533,                0.76315,                0.67642,                0.51207,                0.94934,                0.92996,               0.000496,               0.000496,               0.000496
                     99,                0.33814,                 0.2589,                0.84457,                0.79973,                0.66137,                0.76234,                0.67642,                0.51125,                0.94358,                0.92954,               0.000397,               0.000397,               0.000397
                    100,                 0.3355,                0.25944,                  0.841,                0.80536,                0.65924,                0.76274,                0.67697,                0.51027,                0.94557,                0.92894,               0.000298,               0.000298,               0.000298
